City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,294.08,68,0,2.06,US,1718503102
1,semnan,35.5729,53.3971,298.32,43,0,1.42,IR,1718503382
2,iqaluit,63.7506,-68.5145,276.0,93,100,2.06,CA,1718503323
3,whitehorse,60.7161,-135.0538,291.1,45,75,6.69,CA,1718503274
4,puerto natales,-51.7236,-72.4875,273.02,93,100,1.7,CL,1718503239
5,cafayate,-26.073,-65.9761,284.77,81,2,1.43,AR,1718503231
6,igarka,67.4667,86.5833,282.6,73,70,3.13,RU,1718503382
7,carolina beach,34.0352,-77.8936,299.86,89,68,0.89,US,1718503345
8,puerto ayora,-0.7393,-90.3518,295.68,95,22,3.13,EC,1718503382
9,tiksi,71.6872,128.8694,279.56,70,89,4.19,RU,1718503382
10,cam ranh,11.9214,109.1591,305.13,66,0,2.57,VN,1718503383
11,tindouf,27.6711,-8.1474,301.4,23,29,3.6,DZ,1718503383
12,ust-nera,64.5667,143.2,294.37,36,17,1.93,RU,1718503383
13,port-aux-francais,-49.35,70.2167,274.68,69,98,6.12,TF,1718503383
14,edinburgh of the seven seas,-37.0676,-12.3116,288.9,94,96,11.31,SH,1718503227
15,mandera,3.9366,41.867,296.8,54,98,5.53,KE,1718503383
16,port augusta,-32.5,137.7667,289.09,47,67,1.51,AU,1718503383
17,passau,48.5712,13.449,288.74,99,100,1.26,DE,1718503383
18,coquimbo,-29.9533,-71.3436,287.0,79,0,2.57,CL,1718503167
19,puerto madryn,-42.7692,-65.0385,282.21,47,6,2.34,AR,1718503247
20,nemuro,43.3236,145.575,287.59,94,81,5.38,JP,1718503383
21,cadale,2.7603,46.3222,299.11,78,34,7.98,SO,1718503384
22,edwards,39.645,-106.5942,297.72,47,19,2.26,US,1718503384
23,manta,-0.95,-80.7333,298.03,78,75,3.09,EC,1718503209
24,ribeira grande,38.5167,-28.7,294.14,93,71,4.47,PT,1718503384
25,maamba,-17.3667,27.15,283.8,52,0,1.21,ZM,1718503384
26,quezon,7.7303,125.0989,302.15,64,100,0.8,PH,1718503384
27,pariaman,-0.619,100.12,301.18,96,100,1.62,ID,1718503094
28,vorgashor,67.5833,63.95,276.93,81,100,3.34,RU,1718503384
29,ceres,37.5949,-120.9577,304.02,18,0,7.12,US,1718503208
30,adamstown,-25.066,-130.1015,294.0,58,34,1.01,PN,1718503383
31,tsiombe,-25.3,45.4833,291.88,73,95,0.36,MG,1718503385
32,zhalantun,48.0,122.7167,298.97,39,68,3.84,CN,1718503385
33,hasaki,35.7333,140.8333,298.31,81,100,1.79,JP,1718503385
34,jamestown,42.097,-79.2353,289.95,59,0,2.06,US,1718503348
35,tazovsky,67.4667,78.7,278.03,69,29,4.24,RU,1718503385
36,kaa-khem,51.6833,94.7333,296.71,37,15,1.32,RU,1718503385
